profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
leg1st029	sn002_moose_ge_2022	leg1_029	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220912232410	uvp5	moose2022_ge_leg01_029	2022-09-12 23:24:10	43.6005	9.08437	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st029.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st030	sn002_moose_ge_2022	leg1_030	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220913023211	uvp5	moose2022_ge_leg01_030	2022-09-13 02:32:11	43.69883	9.08437	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st030.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st031	sn002_moose_ge_2022	leg1_031	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220913045521	uvp5	moose2022_ge_leg01_031	2022-09-13 04:55:21	43.80122	9.4684	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st031.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st032	sn002_moose_ge_2022	leg1_032	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220913101715	uvp5	moose2022_ge_leg01_032	2022-09-13 10:17:15	43.04088	9.26145	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st032.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st033	sn002_moose_ge_2022	leg1_033	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220913132600	uvp5	moose2022_ge_leg01_033	2022-09-13 13:26:00	43.08323	9.1758	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st033.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st034	sn002_moose_ge_2022	leg1_034	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220913153138	uvp5	moose2022_ge_leg01_034	2022-09-13 15:31:38	43.19963	9.05068	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st034.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st035	sn002_moose_ge_2022	leg1_035	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220913183607	uvp5	moose2022_ge_leg01_035	2022-09-13 18:36:07	43.31743	8.90057	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st035.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st036	sn002_moose_ge_2022	leg1_036	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220913220141	uvp5	moose2022_ge_leg01_036	2022-09-13 22:01:41	43.45173	8.76607	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st036.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st037	sn002_moose_ge_2022	leg1_037	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220914012232	uvp5	moose2022_ge_leg01_037	2022-09-14 01:22:32	43.56673	8.61395	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st037.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st038	sn002_moose_ge_2022	leg1_038	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220914075837	uvp5	moose2022_ge_leg01_038	2022-09-14 07:58:37	43.40347	7.88918	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st038.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st039	sn002_moose_ge_2022	leg1_039	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220914161356	uvp5	moose2022_ge_leg01_039	2022-09-14 16:13:56	43.63335	7.38283	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st039.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st040	sn002_moose_ge_2022	leg1_040	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220914180940	uvp5	moose2022_ge_leg01_040	2022-09-14 18:09:40	43.56673	7.52975	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st040.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st041	sn002_moose_ge_2022	leg1_041	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220914205250	uvp5	moose2022_ge_leg01_041	2022-09-14 20:52:50	43.49955	7.69947	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st041.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st042	sn002_moose_ge_2022	leg1_042	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220915050514	uvp5	moose2022_ge_leg01_042	2022-09-15 05:05:14	43.42272	7.88493	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st042.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st043	sn002_moose_ge_2022	leg1_043	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220915085703	uvp5	moose2022_ge_leg01_043	2022-09-15 08:57:03	43.42272	7.88493	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st043.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st044	sn002_moose_ge_2022	leg1_044	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220915134239	uvp5	moose2022_ge_leg01_044	2022-09-15 13:42:39	42.81852	8.51715	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st044.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st046	sn002_moose_ge_2022	leg1_046	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220915164133	uvp5	moose2022_ge_leg01_046	2022-09-15 16:41:33	42.63447	8.70672	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st046.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st047	sn002_moose_ge_2022	leg1_047	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220915232603	uvp5	moose2022_ge_leg01_047	2022-09-15 23:26:03	41.7167	8.5833	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st047.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st048	sn002_moose_ge_2022	leg1_048	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220916011901	uvp5	moose2022_ge_leg01_048	2022-09-16 01:19:01	41.71662	8.46727	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st048.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st049	sn002_moose_ge_2022	leg1_049	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220916040637	uvp5	moose2022_ge_leg01_049	2022-09-16 04:06:37	41.78497	8.25	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st049.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st050	sn002_moose_ge_2022	leg1_050	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220916074426	uvp5	moose2022_ge_leg01_049	2022-09-16 07:44:26	41.78497	8.25	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st050.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st051	sn002_moose_ge_2022	leg1_051	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220916135938	uvp5	moose2022_ge_leg01_051	2022-09-16 13:59:38	42.14698	7.68538	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st051.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st052	sn002_moose_ge_2022	leg1_052	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220916185804	uvp5	moose2022_ge_leg01_052	2022-09-16 18:58:04	42.36667	7.68538	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st052.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st053	sn002_moose_ge_2022	leg1_053	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220917025318	uvp5	moose2022_ge_leg01_053	2022-09-17 02:53:18	42.70062	7.03547	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st053.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st054	sn002_moose_ge_2022	leg1_054	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220917085730	uvp5	moose2022_ge_leg01_054	2022-09-17 08:57:30	42.98208	6.80022	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st054.tsv	no data available	uvp5_sn002_moose_ge_2022
leg1st055	sn002_moose_ge_2022	leg1_055	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220917130412	uvp5	moose2022_ge_leg01_055	2022-09-17 13:04:12	43.0089	6.78118	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg1st055.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st001	sn002_moose_ge_2022	leg2_001	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220919123926	uvp5	moose2022_ge_leg02_001	2022-09-19 12:39:26	43.02545	5.19548	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st001.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st002	sn002_moose_ge_2022	leg2_002	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220919211704	uvp5	moose2022_ge_leg02_002	2022-09-19 21:17:04	42.88253	4.3333	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st002.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st003	sn002_moose_ge_2022	leg2_003	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220919224729	uvp5	moose2022_ge_leg02_003	2022-09-19 22:47:29	42.78117	4.39913	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st003.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st004	sn002_moose_ge_2022	leg2_004	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220920012057	uvp5	moose2022_ge_leg02_004	2022-09-20 01:20:57	42.69808	4.46787	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st004.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st005	sn002_moose_ge_2022	leg2_005	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220920031511	uvp5	moose2022_ge_leg02_005	2022-09-20 03:15:11	42.61608	4.5137	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st005.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st006	sn002_moose_ge_2022	leg2_006	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220920052448	uvp5	moose2022_ge_leg02_006	2022-09-20 05:24:48	42.53355	4.6001	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st006.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st007	sn002_moose_ge_2022	leg2_007	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220920085015	uvp5	moose2022_ge_leg02_007	2022-09-20 08:50:15	42.34888	4.73357	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st007.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st008	sn002_moose_ge_2022	leg2_008	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220920131724	uvp5	moose2022_ge_leg02_008	2022-09-20 13:17:24	42.1838	4.86868	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st008.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st009	sn002_moose_ge_2022	leg2_009	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220920173438	uvp5	moose2022_ge_leg02_009	2022-09-20 17:34:38	41.97828	4.9801	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st009.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st010	sn002_moose_ge_2022	leg2_010	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220920214032	uvp5	moose2022_ge_leg02_010	2022-09-20 21:40:32	41.6377	5.22015	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st010.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st011	sn002_moose_ge_2022	leg2_011	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220921014937	uvp5	moose2022_ge_leg02_011	2022-09-21 01:49:37	41.3479	5.45207	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st011.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st012	sn002_moose_ge_2022	leg2_012	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220921055029	uvp5	moose2022_ge_leg02_012	2022-09-21 05:50:29	41.03308	5.69928	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st012.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st013	sn002_moose_ge_2022	leg2_013	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220921122536	uvp5	moose2022_ge_leg02_013	2022-09-21 12:25:36	40.6672	5.99172	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st013.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st014	sn002_moose_ge_2022	leg2_014	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220921170413	uvp5	moose2022_ge_leg02_014	2022-09-21 17:04:13	40.29987	6.27495	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st014.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st015	sn002_moose_ge_2022	leg2_015	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220922032016	uvp5	moose2022_ge_leg02_015	2022-09-22 03:20:16	39.99967	4.41557	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st015.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st016	sn002_moose_ge_2022	leg2_016	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220922045618	uvp5	moose2022_ge_leg02_016	2022-09-22 04:56:18	40.00003	4.56585	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st016.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st017	sn002_moose_ge_2022	leg2_017	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220922073148	uvp5	moose2022_ge_leg02_017	2022-09-22 07:31:48	39.99945	4.73275	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st017.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st018	sn002_moose_ge_2022	leg2_018	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220922132737	uvp5	moose2022_ge_leg02_018	2022-09-22 13:27:37	40.00032	5.13147	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st018.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st019	sn002_moose_ge_2022	leg2_019	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220922173628	uvp5	moose2022_ge_leg02_019	2022-09-22 17:36:28	39.99932	5.60093	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st019.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st020	sn002_moose_ge_2022	leg2_020	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220922215635	uvp5	moose2022_ge_leg02_022	2022-09-22 21:56:35	40.00017	6.03317	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st020.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st021	sn002_moose_ge_2022	leg2_021	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220923022512	uvp5	moose2022_ge_leg02_021	2022-09-23 02:25:12	39.99975	6.49925	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st021.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st022	sn002_moose_ge_2022	leg2_022	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220923065710	uvp5	moose2022_ge_leg02_022	2022-09-23 06:57:10	39.99982	6.98337	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st022.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st023	sn002_moose_ge_2022	leg2_023	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220923130659	uvp5	moose2022_ge_leg02_023	2022-09-23 13:06:59	40.0	7.46765	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st023.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st024	sn002_moose_ge_2022	leg2_024	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220923163946	uvp5	moose2022_ge_leg02_024	2022-09-23 16:39:46	39.9981	7.84893	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st024.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st025	sn002_moose_ge_2022	leg2_025	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220923185823	uvp5	moose2022_ge_leg02_025	2022-09-23 18:58:23	39.99967	8.03338	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st025.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st026	sn002_moose_ge_2022	leg2_026	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220923204722	uvp5	moose2022_ge_leg02_026	2022-09-23 20:47:22	39.99987	8.18318	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st026.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st027	sn002_moose_ge_2022	leg2_027	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220924022912	uvp5	moose2022_ge_leg02_027	2022-09-24 02:29:12	40.79548	7.99072	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st027.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st028	sn002_moose_ge_2022	leg2_028	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220924033548	uvp5	moose2022_ge_leg02_028	2022-09-24 03:35:48	40.80193	7.97828	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st028.tsv	no data available	uvp5_sn002_moose_ge_2022
leg2st029	sn002_moose_ge_2022	leg2_029	laurent coppola(laurent.coppola@imev-mer.fr)	HDR20220924050935	uvp5	moose2022_ge_leg02_029	2022-09-24 05:09:35	40.0	7.9399	0.0108	1.165	0.1484	export_detailed_20230209_08_26_PAR_leg2st029.tsv	no data available	uvp5_sn002_moose_ge_2022
